,Airline,Airline ID,Source Airport,Source Airport ID,Destination Airport,Destination Airport ID,Equipment,Original Airline,Src City,Dest City,Airline Name
57050,UA,5209,LIH,3602,SFO,3469,752,UA,Lihue,San Francisco,Brussels Airlines
57063,UA,5209,LMT,5750,SFO,3469,EM2,UA,Klamath Falls,San Francisco,Brussels Airlines
57087,UA,5209,MCI,3458,SFO,3469,CR7,UA,Kansas City,San Francisco,Brussels Airlines
57102,UA,5209,MCO,3878,SFO,3469,753 752 738 739,UA,Orlando,San Francisco,Brussels Airlines
57119,UA,5209,MEX,1824,SFO,3469,320,UA,Mexico City,San Francisco,SATA Air Acores
57122,UA,5209,MFR,4101,SFO,3469,CRJ EM2,UA,Medford,San Francisco,SATA Air Acores
57165,UA,5209,MOD,3816,SFO,3469,EM2,UA,Modesto,San Francisco,Singapore Airlines
57169,UA,5209,MRY,3948,SFO,3469,EM2,UA,Monterey,San Francisco,Singapore Airlines
57181,UA,5209,MSP,3858,SFO,3469,320 739 319,UA,Minneapolis,San Francisco,Singapore Airlines
57190,UA,5209,MSY,3861,SFO,3469,320 319 738,UA,New Orleans,San Francisco,Singapore Airlines Cargo
57202,UA,5209,MUC,346,SFO,3469,346,UA,Munich,San Francisco,Singapore Airlines Cargo
57225,UA,5209,NRT,2279,SFO,3469,744,UA,Tokyo,San Francisco,Singapore Airlines
57235,UA,5209,OGG,3456,SFO,3469,753 738,UA,Kahului,San Francisco,Singapore Airlines
57242,UA,5209,OKC,3863,SFO,3469,CR7,UA,Oklahoma City,San Francisco,Singapore Airlines Cargo
57250,UA,5209,ONT,3734,SFO,3469,CRJ,UA,Ontario,San Francisco,Singapore Airlines Cargo
57378,UA,5209,ORD,3830,SFO,3469,752 739 320 738 753 319 777,UA,Chicago,San Francisco,Singapore Airlines Cargo
57417,UA,5209,OTH,5757,SFO,3469,CRJ,UA,North Bend,San Francisco,Singapore Airlines
57438,UA,5209,PDX,3720,SFO,3469,319 739 320,UA,Portland,San Francisco,Singapore Airlines Cargo
57448,UA,5209,PEK,3364,SFO,3469,744,UA,Beijing,San Francisco,Singapore Airlines Cargo
57455,UA,5209,PHL,3752,SFO,3469,739 738 319 752,UA,Philadelphia,San Francisco,Singapore Airlines
57464,UA,5209,PHX,3462,SFO,3469,320,UA,Phoenix,San Francisco,Singapore Airlines Cargo
57476,UA,5209,PIT,3570,SFO,3469,320 319 738,UA,Pittsburgh,San Francisco,Singapore Airlines Cargo
57492,UA,5209,PSC,6133,SFO,3469,CRJ,UA,Pasco,San Francisco,Singapore Airlines Cargo
57497,UA,5209,PSP,3839,SFO,3469,CRJ CR7,UA,Palm Springs,San Francisco,Singapore Airlines
57518,UA,5209,PVG,3406,SFO,3469,744,UA,Shanghai,San Francisco,Singapore Airlines Cargo
57524,UA,5209,PVR,1836,SFO,3469,320,UA,Puerto Vallarta,San Francisco,Singapore Airlines Cargo
57528,UA,5209,RDD,4098,SFO,3469,EM2,UA,Redding,San Francisco,Singapore Airlines Cargo
57531,UA,5209,RDM,4103,SFO,3469,CRJ EM2,UA,Redmond-Bend,San Francisco,Singapore Airlines
57536,UA,5209,RDU,3626,SFO,3469,738 739,UA,Raleigh-durham,San Francisco,Singapore Airlines Cargo
57546,UA,5209,RNO,3807,SFO,3469,CR7 CRJ,UA,Reno,San Francisco,Singapore Airlines Cargo
57574,UA,5209,SAL,1892,SFO,3469,319 320,UA,San Salvador,San Francisco,Corsairfly
57581,UA,5209,SAN,3731,SFO,3469,739 738 320 319,UA,San Diego,San Francisco,Corsairfly
57591,UA,5209,SAT,3621,SFO,3469,CR7,UA,San Antonio,San Francisco,Corsairfly
57598,UA,5209,SBA,3949,SFO,3469,EM2,UA,Santa Barbara,San Francisco,Germania
57601,UA,5209,SBP,5768,SFO,3469,EM2,UA,San Luis Obispo,San Francisco,Germania
57623,UA,5209,SEA,3577,SFO,3469,319 739 320 738 752,UA,Seattle,San Francisco,Germania
57731,UA,5209,SJD,1840,SFO,3469,320 739 738,UA,San Jose Del Cabo,San Francisco,Aeroflot Russian Airlines
57745,UA,5209,SLC,3536,SFO,3469,738 320 319,UA,Salt Lake City,San Francisco,Aeroflot Russian Airlines
57754,UA,5209,SMF,3817,SFO,3469,EM2,UA,Sacramento,San Francisco,Aeroflot Russian Airlines
57760,UA,5209,SNA,3867,SFO,3469,738 319 320,UA,Santa Ana,San Francisco,Aeroflot Russian Airlines
57774,UA,5209,STL,3678,SFO,3469,320 319,UA,St. Louis,San Francisco,Aeroflot Russian Airlines
57786,UA,5209,SYD,3361,SFO,3469,777,UA,Sydney,San Francisco,Aeroflot Russian Airlines
57812,UA,5209,TPE,2276,SFO,3469,777,UA,Taipei,San Francisco,Aeroflot Russian Airlines
57825,UA,5209,TUS,3636,SFO,3469,CRJ,UA,Tucson,San Francisco,Aeroflot Russian Airlines
57856,UA,5209,YEG,49,SFO,3469,CR7,UA,Edmonton,San Francisco,Aeroflot Russian Airlines
57882,UA,5209,YUL,146,SFO,3469,319,UA,Montreal,San Francisco,Aeroflot Russian Airlines
57892,UA,5209,YVR,156,SFO,3469,320 319 739 738,UA,Vancouver,San Francisco,Aeroflot Russian Airlines
57902,UA,5209,YYC,178,SFO,3469,CR7,UA,Calgary,San Francisco,Aeroflot Russian Airlines
57903,UA,5209,YYJ,184,SFO,3469,CRJ,UA,Victoria,San Francisco,Aeroflot Russian Airlines
57923,UA,5209,YYZ,193,SFO,3469,320,UA,Toronto,San Francisco,Aeroflot Russian Airlines
57936,UA,5209,ZRH,1678,SFO,3469,343,UA,Zurich,San Francisco,Aeroflot Russian Airlines
58242,UN,5067,JFK,3797,VKO,2988,777,UN,New York,Moscow,Saudi Arabian Airlines
58278,UN,5067,LHR,507,SFO,3469,744,UN,London,San Francisco,Saudi Arabian Airlines
58861,US,5265,CLT,3876,SFO,3469,321,US,Charlotte,San Francisco,
59161,US,5265,DFW,3670,SFO,3469,738 757 763,US,Dallas-Fort Worth,San Francisco,Thai Airways International
59333,US,5265,HKG,3077,SFO,3469,77W,US,Hong Kong,San Francisco,Turkish Airlines
59373,US,5265,ICN,3930,SFO,3469,77W,US,Seoul,San Francisco,Turkish Airlines
59412,US,5265,JFK,3797,AMM,2170,340 330,US,New York,Amman,Turkish Airlines
59413,US,5265,JFK,3797,ANU,2874,738,US,New York,Antigua,Turkish Airlines
59414,US,5265,JFK,3797,AUS,3673,738,US,New York,Austin,Turkish Airlines
59415,US,5265,JFK,3797,BCN,1218,763,US,New York,Barcelona,Turkish Airlines
59416,US,5265,JFK,3797,BDA,4069,738,US,New York,Bermuda,Turkish Airlines
59417,US,5265,JFK,3797,BNA,3690,ER4,US,New York,Nashville,Turkish Airlines
59418,US,5265,JFK,3797,BOG,2709,319,US,New York,Bogota,Turkish Airlines
59419,US,5265,JFK,3797,BOS,3448,738,US,New York,Boston,Turkish Airlines
59420,US,5265,JFK,3797,BWI,3849,ER4,US,New York,Baltimore,Turkish Airlines
59421,US,5265,JFK,3797,CDG,1382,763 757,US,New York,Paris,Turkish Airlines
59422,US,5265,JFK,3797,CLE,3486,ER4,US,New York,Cleveland,Turkish Airlines
59423,US,5265,JFK,3797,CLT,3876,321 319,US,New York,Charlotte,Turkish Airlines
59424,US,5265,JFK,3797,CMH,3759,CR7,US,New York,Columbus,Turkish Airlines
59425,US,5265,JFK,3797,CUN,1852,738,US,New York,Cancun,Turkish Airlines
59426,US,5265,JFK,3797,CVG,3488,ER4,US,New York,Cincinnati,Turkish Airlines
59427,US,5265,JFK,3797,DCA,3520,738,US,New York,Washington,Turkish Airlines
59428,US,5265,JFK,3797,DFW,3670,738 757,US,New York,Dallas-Fort Worth,Turkish Airlines
59429,US,5265,JFK,3797,DUB,599,757,US,New York,Dublin,Turkish Airlines
59430,US,5265,JFK,3797,FCO,1555,763,US,New York,Rome,Turkish Airlines
59431,US,5265,JFK,3797,FRA,340,388,US,New York,Frankfurt,Turkish Airlines
59432,US,5265,JFK,3797,GIG,2560,763,US,New York,Rio De Janeiro,Turkish Airlines
59433,US,5265,JFK,3797,GRU,2564,77W 777,US,New York,Sao Paulo,Turkish Airlines
59434,US,5265,JFK,3797,IND,3585,ER4,US,New York,Indianapolis,Turkish Airlines
