,ABQ,ACC,ACV,AKL,AMM,AMS,ANU,ARN,ATL,AUA,AUH,AUS,AZS,BCN,BDA,BFL,BGI,BGO,BGR,BHM,BJX,BNA,BOG,BOI,BOS,BQN,BRU,BTV,BUF,BUR,BWI,CAE,CAI,CAK,CCS,CDG,CEC,CHO,CHS,CIC,CLE,CLT,CMH,CMN,COS,CPH,CTG,CUN,CVG,DAL,DAY,DCA,DEL,DEN,DFW,DKR,DOH,DSM,DTW,DUB,DUS,DXB,EUG,EWR,EYW,EZE,FAT,FCO,FLL,FRA,GCM,GDL,GEO,GIG,GND,GRR,GRU,GSO,GSP,GUA,GVA,GYE,HEL,HKG,HND,HNL,HOU,IAD,IAH,ICN,ILM,IND,IST,JAX,JED,JFK,JNB,KBP,KEF,KIN,KIX,KOA,KWI,LAS,LAX,LCY,LEX,LGA,LGB,LHE,LHR,LIH,LIM,LIR,LIT,LMT,LOS,LRM,MAD,MAN,MBJ,MCI,MCO,MDE,MDW,MEM,MEX,MFR,MHT,MIA,MKE,MLM,MNL,MOD,MRY,MSN,MSP,MSY,MUC,MXP,MYR,NAS,NCE,NRT,OAK,OGG,OKC,OMA,ONT,ORD,ORF,ORY,OSL,OTH,PAP,PBI,PDX,PEK,PHL,PHX,PIT,PLS,POP,POS,PSC,PSE,PSP,PTY,PUJ,PVG,PVR,PWM,RDD,RDM,RDU,RIC,RIX,RNO,ROA,ROC,RSW,RUH,SAL,SAN,SAP,SAT,SAV,SBA,SBP,SCL,SDF,SDQ,SEA,SFO,SJC,SJD,SJO,SJU,SLC,SMF,SNA,SNN,SRQ,STI,STL,STT,SVO,SXM,SYD,SYR,TAB,TLV,TPA,TPE,TUS,TXL,TYS,UVF,VCE,VIE,VKO,WAW,XNA,YEG,YHZ,YOW,YUL,YVR,YYC,YYJ,YYZ,ZRH
ABQ,"[0, nan]","[0, nan]","[0, nan]","[0, nan]","[0, nan]","[0, nan]","[0, nan]","[0, nan]","[0, nan]","[0, nan]","[0, nan]","[0, nan]","[0, nan]","[0, nan]","[0, nan]","[0, nan]","[0, nan]","[0, nan]","[0, nan]","[0, nan]","[0, nan]","[0, nan]","[0, nan]","[0, nan]","[0, nan]","[0, nan]","[0, nan]","[0, nan]","[0, nan]","[0, nan]","[0, nan]","[0, nan]","[0, nan]","[0, nan]","[0, nan]","[0, nan]","[0, nan]","[0, nan]","[0, nan]","[0, nan]","[0, nan]","[0, nan]","[0, nan]","[0, nan]","[0, nan]","[0, nan]","[0, nan]","[0, nan]","[0, nan]","[0, nan]","[0, nan]","[0, nan]","[0, nan]","[0, nan]","[0, nan]","[0, nan]","[0, nan]","[0, nan]","[0, nan]","[0, nan]","[0, nan]","[0, nan]","[0, nan]","[0, nan]","[0, nan]","[0, nan]","[0, nan]","[0, nan]","[0, nan]","[0, nan]","[0, nan]","[0, nan]","[0, nan]","[0, nan]","[0, nan]","[0, nan]","[0, nan]","[0, nan]","[0, nan]","[0, nan]","[0, nan]","[0, nan]","[0, nan]","[0, nan]","[0, nan]","[0, nan]","[0, nan]","[0, nan]","[0, nan]","[0, nan]","[0, nan]","[0, nan]","[0, nan]","[0, nan]","[0, nan]","[0, nan]","[0, nan]","[0, nan]","[0, nan]","[0, nan]","[0, nan]","[0, nan]","[0, nan]","[0, nan]","[0, nan]","[0, nan]","[0, nan]","[0, nan]","[0, nan]","[0, nan]","[0, nan]","[0, nan]","[0, nan]","[0, nan]","[0, nan]","[0, nan]","[0, nan]","[0, nan]","[0, nan]","[0, nan]","[0, nan]","[0, nan]","[0, nan]","[0, nan]","[0, nan]","[0, nan]","[0, nan]","[0, nan]","[0, nan]","[0, nan]","[0, nan]","[0, nan]","[0, nan]","[0, nan]","[0, nan]","[0, nan]","[0, nan]","[0, nan]","[0, nan]","[0, nan]","[0, nan]","[0, nan]","[0, nan]","[0, nan]","[0, nan]","[0, nan]","[0, nan]","[0, nan]","[0, nan]","[0, nan]","[0, nan]","[0, nan]","[0, nan]","[0, nan]","[0, nan]","[0, nan]","[0, nan]","[0, nan]","[0, nan]","[0, nan]","[0, nan]","[0, nan]","[0, nan]","[0, nan]","[0, nan]","[0, nan]","[0, nan]","[0, nan]","[0, nan]","[0, nan]","[0, nan]","[0, nan]","[0, nan]","[0, nan]","[0, nan]","[0, nan]","[0, nan]","[0, nan]","[0, nan]","[0, nan]","[0, nan]","[0, nan]","[0, nan]","[0, nan]","[0, nan]","[0, nan]","[0, nan]","[0, nan]","[0, nan]","[0, nan]","[0, nan]","[0, nan]","[0, nan]","[0, nan]","[0, nan]","[0, nan]","[0, nan]","[0, nan]","[0, nan]","[0, nan]","[0, nan]","[0, nan]","[0, nan]","[0, nan]","[0, nan]","[0, nan]","[0, nan]","[0, nan]","[0, nan]","[0, nan]","[0, nan]","[0, nan]","[0, nan]","[0, nan]","[0, nan]","[0, nan]","[0, nan]","[0, nan]","[0, nan]","[0, nan]","[0, nan]","[0, nan]","[0, nan]","[0, nan]","[0, nan]","[0, nan]","[0, nan]","[0, nan]","[0, nan]","[0, nan]","[0, nan]","[0, nan]"
ACC,[0],[0],[0],[0],[0],[0],[0],[0],[0],[0],[0],[0],[0],[0],[0],[0],[0],[0],[0],[0],[0],[0],[0],[0],[0],[0],[0],[0],[0],[0],[0],[0],[0],[0],[0],[0],[0],[0],[0],[0],[0],[0],[0],[0],[0],[0],[0],[0],[0],[0],[0],[0],[0],[0],[0],[0],[0],[0],[0],[0],[0],[0],[0],[0],[0],[0],[0],[0],[0],[0],[0],[0],[0],[0],[0],[0],[0],[0],[0],[0],[0],[0],[0],[0],[0],[0],[0],[0],[0],[0],[0],[0],[0],[0],[0],[0],[0],[0],[0],[0],[0],[0],[0],[0],[0],[0],[0],[0],[0],[0],[0],[0],[0],[0],[0],[0],[0],[0],[0],[0],[0],[0],[0],[0],[0],[0],[0],[0],[0],[0],[0],[0],[0],[0],[0],[0],[0],[0],[0],[0],[0],[0],[0],[0],[0],[0],[0],[0],[0],[0],[0],[0],[0],[0],[0],[0],[0],[0],[0],[0],[0],[0],[0],[0],[0],[0],[0],[0],[0],[0],[0],[0],[0],[0],[0],[0],[0],[0],[0],[0],[0],[0],[0],[0],[0],[0],[0],[0],[0],[0],[0],[0],[0],[0],[0],[0],[0],[0],[0],[0],[0],[0],[0],[0],[0],[0],[0],[0],[0],[0],[0],[0],[0],[0],[0],[0],[0],[0],[0],[0],[0],[0],[0],[0],[0],[0],[0],[0],[0],[0],[0],[0]
ACV,"[0, 30.0]","[0, 30.0]","[0, 30.0]","[0, 30.0]","[0, 30.0]","[0, 30.0]","[0, 30.0]","[0, 30.0]","[0, 30.0]","[0, 30.0]","[0, 30.0]","[0, 30.0]","[0, 30.0]","[0, 30.0]","[0, 30.0]","[0, 30.0]","[0, 30.0]","[0, 30.0]","[0, 30.0]","[0, 30.0]","[0, 30.0]","[0, 30.0]","[0, 30.0]","[0, 30.0]","[0, 30.0]","[0, 30.0]","[0, 30.0]","[0, 30.0]","[0, 30.0]","[0, 30.0]","[0, 30.0]","[0, 30.0]","[0, 30.0]","[0, 30.0]","[0, 30.0]","[0, 30.0]","[0, 30.0]","[0, 30.0]","[0, 30.0]","[0, 30.0]","[0, 30.0]","[0, 30.0]","[0, 30.0]","[0, 30.0]","[0, 30.0]","[0, 30.0]","[0, 30.0]","[0, 30.0]","[0, 30.0]","[0, 30.0]","[0, 30.0]","[0, 30.0]","[0, 30.0]","[0, 30.0]","[0, 30.0]","[0, 30.0]","[0, 30.0]","[0, 30.0]","[0, 30.0]","[0, 30.0]","[0, 30.0]","[0, 30.0]","[0, 30.0]","[0, 30.0]","[0, 30.0]","[0, 30.0]","[0, 30.0]","[0, 30.0]","[0, 30.0]","[0, 30.0]","[0, 30.0]","[0, 30.0]","[0, 30.0]","[0, 30.0]","[0, 30.0]","[0, 30.0]","[0, 30.0]","[0, 30.0]","[0, 30.0]","[0, 30.0]","[0, 30.0]","[0, 30.0]","[0, 30.0]","[0, 30.0]","[0, 30.0]","[0, 30.0]","[0, 30.0]","[0, 30.0]","[0, 30.0]","[0, 30.0]","[0, 30.0]","[0, 30.0]","[0, 30.0]","[0, 30.0]","[0, 30.0]","[0, 30.0]","[0, 30.0]","[0, 30.0]","[0, 30.0]","[0, 30.0]","[0, 30.0]","[0, 30.0]","[0, 30.0]","[0, 30.0]","[0, 30.0]","[0, 30.0]","[0, 30.0]","[0, 30.0]","[0, 30.0]","[0, 30.0]","[0, 30.0]","[0, 30.0]","[0, 30.0]","[0, 30.0]","[0, 30.0]","[0, 30.0]","[0, 30.0]","[0, 30.0]","[0, 30.0]","[0, 30.0]","[0, 30.0]","[0, 30.0]","[0, 30.0]","[0, 30.0]","[0, 30.0]","[0, 30.0]","[0, 30.0]","[0, 30.0]","[0, 30.0]","[0, 30.0]","[0, 30.0]","[0, 30.0]","[0, 30.0]","[0, 30.0]","[0, 30.0]","[0, 30.0]","[0, 30.0]","[0, 30.0]","[0, 30.0]","[0, 30.0]","[0, 30.0]","[0, 30.0]","[0, 30.0]","[0, 30.0]","[0, 30.0]","[0, 30.0]","[0, 30.0]","[0, 30.0]","[0, 30.0]","[0, 30.0]","[0, 30.0]","[0, 30.0]","[0, 30.0]","[0, 30.0]","[0, 30.0]","[0, 30.0]","[0, 30.0]","[0, 30.0]","[0, 30.0]","[0, 30.0]","[0, 30.0]","[0, 30.0]","[0, 30.0]","[0, 30.0]","[0, 30.0]","[0, 30.0]","[0, 30.0]","[0, 30.0]","[0, 30.0]","[0, 30.0]","[0, 30.0]","[0, 30.0]","[0, 30.0]","[0, 30.0]","[0, 30.0]","[0, 30.0]","[0, 30.0]","[0, 30.0]","[0, 30.0]","[0, 30.0]","[0, 30.0]","[0, 30.0]","[0, 30.0]","[0, 30.0]","[0, 30.0]","[0, 30.0]","[0, 30.0]","[0, 30.0]","[0, 30.0]","[0, 30.0]","[0, 30.0]","[0, 30.0]","[0, 30.0]","[0, 30.0]","[0, 30.0]","[0, 30.0]","[0, 30.0]","[0, 30.0]","[0, 30.0]","[0, 30.0]","[0, 30.0]","[0, 30.0]","[0, 30.0]","[0, 30.0]","[0, 30.0]","[0, 30.0]","[0, 30.0]","[0, 30.0]","[0, 30.0]","[0, 30.0]","[0, 30.0]","[0, 30.0]","[0, 30.0]","[0, 30.0]","[0, 30.0]","[0, 30.0]","[0, 30.0]","[0, 30.0]","[0, 30.0]","[0, 30.0]","[0, 30.0]","[0, 30.0]","[0, 30.0]","[0, 30.0]","[0, 30.0]","[0, 30.0]","[0, 30.0]","[0, 30.0]","[0, 30.0]","[0, 30.0]","[0, 30.0]","[0, 30.0]"
AKL,"[0, 308.0, 660.0, 308.0, 660.0]","[0, 308.0, 660.0, 308.0, 660.0]","[0, 308.0, 660.0, 308.0, 660.0]","[0, 308.0, 660.0, 308.0, 660.0]","[0, 308.0, 660.0, 308.0, 660.0]","[0, 308.0, 660.0, 308.0, 660.0]","[0, 308.0, 660.0, 308.0, 660.0]","[0, 308.0, 660.0, 308.0, 660.0]","[0, 308.0, 660.0, 308.0, 660.0]","[0, 308.0, 660.0, 308.0, 660.0]","[0, 308.0, 660.0, 308.0, 660.0]","[0, 308.0, 660.0, 308.0, 660.0]","[0, 308.0, 660.0, 308.0, 660.0]","[0, 308.0, 660.0, 308.0, 660.0]","[0, 308.0, 660.0, 308.0, 660.0]","[0, 308.0, 660.0, 308.0, 660.0]","[0, 308.0, 660.0, 308.0, 660.0]","[0, 308.0, 660.0, 308.0, 660.0]","[0, 308.0, 660.0, 308.0, 660.0]","[0, 308.0, 660.0, 308.0, 660.0]","[0, 308.0, 660.0, 308.0, 660.0]","[0, 308.0, 660.0, 308.0, 660.0]","[0, 308.0, 660.0, 308.0, 660.0]","[0, 308.0, 660.0, 308.0, 660.0]","[0, 308.0, 660.0, 308.0, 660.0]","[0, 308.0, 660.0, 308.0, 660.0]","[0, 308.0, 660.0, 308.0, 660.0]","[0, 308.0, 660.0, 308.0, 660.0]","[0, 308.0, 660.0, 308.0, 660.0]","[0, 308.0, 660.0, 308.0, 660.0]","[0, 308.0, 660.0, 308.0, 660.0]","[0, 308.0, 660.0, 308.0, 660.0]","[0, 308.0, 660.0, 308.0, 660.0]","[0, 308.0, 660.0, 308.0, 660.0]","[0, 308.0, 660.0, 308.0, 660.0]","[0, 308.0, 660.0, 308.0, 660.0]","[0, 308.0, 660.0, 308.0, 660.0]","[0, 308.0, 660.0, 308.0, 660.0]","[0, 308.0, 660.0, 308.0, 660.0]","[0, 308.0, 660.0, 308.0, 660.0]","[0, 308.0, 660.0, 308.0, 660.0]","[0, 308.0, 660.0, 308.0, 660.0]","[0, 308.0, 660.0, 308.0, 660.0]","[0, 308.0, 660.0, 308.0, 660.0]","[0, 308.0, 660.0, 308.0, 660.0]","[0, 308.0, 660.0, 308.0, 660.0]","[0, 308.0, 660.0, 308.0, 660.0]","[0, 308.0, 660.0, 308.0, 660.0]","[0, 308.0, 660.0, 308.0, 660.0]","[0, 308.0, 660.0, 308.0, 660.0]","[0, 308.0, 660.0, 308.0, 660.0]","[0, 308.0, 660.0, 308.0, 660.0]","[0, 308.0, 660.0, 308.0, 660.0]","[0, 308.0, 660.0, 308.0, 660.0]","[0, 308.0, 660.0, 308.0, 660.0]","[0, 308.0, 660.0, 308.0, 660.0]","[0, 308.0, 660.0, 308.0, 660.0]","[0, 308.0, 660.0, 308.0, 660.0]","[0, 308.0, 660.0, 308.0, 660.0]","[0, 308.0, 660.0, 308.0, 660.0]","[0, 308.0, 660.0, 308.0, 660.0]","[0, 308.0, 660.0, 308.0, 660.0]","[0, 308.0, 660.0, 308.0, 660.0]","[0, 308.0, 660.0, 308.0, 660.0]","[0, 308.0, 660.0, 308.0, 660.0]","[0, 308.0, 660.0, 308.0, 660.0]","[0, 308.0, 660.0, 308.0, 660.0]","[0, 308.0, 660.0, 308.0, 660.0]","[0, 308.0, 660.0, 308.0, 660.0]","[0, 308.0, 660.0, 308.0, 660.0]","[0, 308.0, 660.0, 308.0, 660.0]","[0, 308.0, 660.0, 308.0, 660.0]","[0, 308.0, 660.0, 308.0, 660.0]","[0, 308.0, 660.0, 308.0, 660.0]","[0, 308.0, 660.0, 308.0, 660.0]","[0, 308.0, 660.0, 308.0, 660.0]","[0, 308.0, 660.0, 308.0, 660.0]","[0, 308.0, 660.0, 308.0, 660.0]","[0, 308.0, 660.0, 308.0, 660.0]","[0, 308.0, 660.0, 308.0, 660.0]","[0, 308.0, 660.0, 308.0, 660.0]","[0, 308.0, 660.0, 308.0, 660.0]","[0, 308.0, 660.0, 308.0, 660.0]","[0, 308.0, 660.0, 308.0, 660.0]","[0, 308.0, 660.0, 308.0, 660.0]","[0, 308.0, 660.0, 308.0, 660.0]","[0, 308.0, 660.0, 308.0, 660.0]","[0, 308.0, 660.0, 308.0, 660.0]","[0, 308.0, 660.0, 308.0, 660.0]","[0, 308.0, 660.0, 308.0, 660.0]","[0, 308.0, 660.0, 308.0, 660.0]","[0, 308.0, 660.0, 308.0, 660.0]","[0, 308.0, 660.0, 308.0, 660.0]","[0, 308.0, 660.0, 308.0, 660.0]","[0, 308.0, 660.0, 308.0, 660.0]","[0, 308.0, 660.0, 308.0, 660.0]","[0, 308.0, 660.0, 308.0, 660.0]","[0, 308.0, 660.0, 308.0, 660.0]","[0, 308.0, 660.0, 308.0, 660.0]","[0, 308.0, 660.0, 308.0, 660.0]","[0, 308.0, 660.0, 308.0, 660.0]","[0, 308.0, 660.0, 308.0, 660.0]","[0, 308.0, 660.0, 308.0, 660.0]","[0, 308.0, 660.0, 308.0, 660.0]","[0, 308.0, 660.0, 308.0, 660.0]","[0, 308.0, 660.0, 308.0, 660.0]","[0, 308.0, 660.0, 308.0, 660.0]","[0, 308.0, 660.0, 308.0, 660.0]","[0, 308.0, 660.0, 308.0, 660.0]","[0, 308.0, 660.0, 308.0, 660.0]","[0, 308.0, 660.0, 308.0, 660.0]","[0, 308.0, 660.0, 308.0, 660.0]","[0, 308.0, 660.0, 308.0, 660.0]","[0, 308.0, 660.0, 308.0, 660.0]","[0, 308.0, 660.0, 308.0, 660.0]","[0, 308.0, 660.0, 308.0, 660.0]","[0, 308.0, 660.0, 308.0, 660.0]","[0, 308.0, 660.0, 308.0, 660.0]","[0, 308.0, 660.0, 308.0, 660.0]","[0, 308.0, 660.0, 308.0, 660.0]","[0, 308.0, 660.0, 308.0, 660.0]","[0, 308.0, 660.0, 308.0, 660.0]","[0, 308.0, 660.0, 308.0, 660.0]","[0, 308.0, 660.0, 308.0, 660.0]","[0, 308.0, 660.0, 308.0, 660.0]","[0, 308.0, 660.0, 308.0, 660.0]","[0, 308.0, 660.0, 308.0, 660.0]","[0, 308.0, 660.0, 308.0, 660.0]","[0, 308.0, 660.0, 308.0, 660.0]","[0, 308.0, 660.0, 308.0, 660.0]","[0, 308.0, 660.0, 308.0, 660.0]","[0, 308.0, 660.0, 308.0, 660.0]","[0, 308.0, 660.0, 308.0, 660.0]","[0, 308.0, 660.0, 308.0, 660.0]","[0, 308.0, 660.0, 308.0, 660.0]","[0, 308.0, 660.0, 308.0, 660.0]","[0, 308.0, 660.0, 308.0, 660.0]","[0, 308.0, 660.0, 308.0, 660.0]","[0, 308.0, 660.0, 308.0, 660.0]","[0, 308.0, 660.0, 308.0, 660.0]","[0, 308.0, 660.0, 308.0, 660.0]","[0, 308.0, 660.0, 308.0, 660.0]","[0, 308.0, 660.0, 308.0, 660.0]","[0, 308.0, 660.0, 308.0, 660.0]","[0, 308.0, 660.0, 308.0, 660.0]","[0, 308.0, 660.0, 308.0, 660.0]","[0, 308.0, 660.0, 308.0, 660.0]","[0, 308.0, 660.0, 308.0, 660.0]","[0, 308.0, 660.0, 308.0, 660.0]","[0, 308.0, 660.0, 308.0, 660.0]","[0, 308.0, 660.0, 308.0, 660.0]","[0, 308.0, 660.0, 308.0, 660.0]","[0, 308.0, 660.0, 308.0, 660.0]","[0, 308.0, 660.0, 308.0, 660.0]","[0, 308.0, 660.0, 308.0, 660.0]","[0, 308.0, 660.0, 308.0, 660.0]","[0, 308.0, 660.0, 308.0, 660.0]","[0, 308.0, 660.0, 308.0, 660.0]","[0, 308.0, 660.0, 308.0, 660.0]","[0, 308.0, 660.0, 308.0, 660.0]","[0, 308.0, 660.0, 308.0, 660.0]","[0, 308.0, 660.0, 308.0, 660.0]","[0, 308.0, 660.0, 308.0, 660.0]","[0, 308.0, 660.0, 308.0, 660.0]","[0, 308.0, 660.0, 308.0, 660.0]","[0, 308.0, 660.0, 308.0, 660.0]","[0, 308.0, 660.0, 308.0, 660.0]","[0, 308.0, 660.0, 308.0, 660.0]","[0, 308.0, 660.0, 308.0, 660.0]","[0, 308.0, 660.0, 308.0, 660.0]","[0, 308.0, 660.0, 308.0, 660.0]","[0, 308.0, 660.0, 308.0, 660.0]","[0, 308.0, 660.0, 308.0, 660.0]","[0, 308.0, 660.0, 308.0, 660.0]","[0, 308.0, 660.0, 308.0, 660.0]","[0, 308.0, 660.0, 308.0, 660.0]","[0, 308.0, 660.0, 308.0, 660.0]","[0, 308.0, 660.0, 308.0, 660.0]","[0, 308.0, 660.0, 308.0, 660.0]","[0, 308.0, 660.0, 308.0, 660.0]","[0, 308.0, 660.0, 308.0, 660.0]","[0, 308.0, 660.0, 308.0, 660.0]","[0, 308.0, 660.0, 308.0, 660.0]","[0, 308.0, 660.0, 308.0, 660.0]","[0, 308.0, 660.0, 308.0, 660.0]","[0, 308.0, 660.0, 308.0, 660.0]","[0, 308.0, 660.0, 308.0, 660.0]","[0, 308.0, 660.0, 308.0, 660.0]","[0, 308.0, 660.0, 308.0, 660.0]","[0, 308.0, 660.0, 308.0, 660.0]","[0, 308.0, 660.0, 308.0, 660.0]","[0, 308.0, 660.0, 308.0, 660.0]","[0, 308.0, 660.0, 308.0, 660.0]","[0, 308.0, 660.0, 308.0, 660.0]","[0, 308.0, 660.0, 308.0, 660.0]","[0, 308.0, 660.0, 308.0, 660.0]","[0, 308.0, 660.0, 308.0, 660.0]","[0, 308.0, 660.0, 308.0, 660.0]","[0, 308.0, 660.0, 308.0, 660.0]","[0, 308.0, 660.0, 308.0, 660.0]","[0, 308.0, 660.0, 308.0, 660.0]","[0, 308.0, 660.0, 308.0, 660.0]","[0, 308.0, 660.0, 308.0, 660.0]","[0, 308.0, 660.0, 308.0, 660.0]","[0, 308.0, 660.0, 308.0, 660.0]","[0, 308.0, 660.0, 308.0, 660.0]","[0, 308.0, 660.0, 308.0, 660.0]","[0, 308.0, 660.0, 308.0, 660.0]","[0, 308.0, 660.0, 308.0, 660.0]","[0, 308.0, 660.0, 308.0, 660.0]","[0, 308.0, 660.0, 308.0, 660.0]","[0, 308.0, 660.0, 308.0, 660.0]","[0, 308.0, 660.0, 308.0, 660.0]","[0, 308.0, 660.0, 308.0, 660.0]","[0, 308.0, 660.0, 308.0, 660.0]","[0, 308.0, 660.0, 308.0, 660.0]","[0, 308.0, 660.0, 308.0, 660.0]","[0, 308.0, 660.0, 308.0, 660.0]","[0, 308.0, 660.0, 308.0, 660.0]","[0, 308.0, 660.0, 308.0, 660.0]","[0, 308.0, 660.0, 308.0, 660.0]","[0, 308.0, 660.0, 308.0, 660.0]","[0, 308.0, 660.0, 308.0, 660.0]","[0, 308.0, 660.0, 308.0, 660.0]","[0, 308.0, 660.0, 308.0, 660.0]","[0, 308.0, 660.0, 308.0, 660.0]","[0, 308.0, 660.0, 308.0, 660.0]","[0, 308.0, 660.0, 308.0, 660.0]","[0, 308.0, 660.0, 308.0, 660.0]","[0, 308.0, 660.0, 308.0, 660.0]","[0, 308.0, 660.0, 308.0, 660.0]","[0, 308.0, 660.0, 308.0, 660.0]"
AMM,[0],[0],[0],[0],[0],[0],[0],[0],[0],[0],[0],[0],[0],[0],[0],[0],[0],[0],[0],[0],[0],[0],[0],[0],[0],[0],[0],[0],[0],[0],[0],[0],[0],[0],[0],[0],[0],[0],[0],[0],[0],[0],[0],[0],[0],[0],[0],[0],[0],[0],[0],[0],[0],[0],[0],[0],[0],[0],[0],[0],[0],[0],[0],[0],[0],[0],[0],[0],[0],[0],[0],[0],[0],[0],[0],[0],[0],[0],[0],[0],[0],[0],[0],[0],[0],[0],[0],[0],[0],[0],[0],[0],[0],[0],[0],[0],[0],[0],[0],[0],[0],[0],[0],[0],[0],[0],[0],[0],[0],[0],[0],[0],[0],[0],[0],[0],[0],[0],[0],[0],[0],[0],[0],[0],[0],[0],[0],[0],[0],[0],[0],[0],[0],[0],[0],[0],[0],[0],[0],[0],[0],[0],[0],[0],[0],[0],[0],[0],[0],[0],[0],[0],[0],[0],[0],[0],[0],[0],[0],[0],[0],[0],[0],[0],[0],[0],[0],[0],[0],[0],[0],[0],[0],[0],[0],[0],[0],[0],[0],[0],[0],[0],[0],[0],[0],[0],[0],[0],[0],[0],[0],[0],[0],[0],[0],[0],[0],[0],[0],[0],[0],[0],[0],[0],[0],[0],[0],[0],[0],[0],[0],[0],[0],[0],[0],[0],[0],[0],[0],[0],[0],[0],[0],[0],[0],[0],[0],[0],[0],[0],[0],[0]
